,Journal Name,ISSN,EISSN,IF,Best Quartile,Quartiles,Eigen Factor,MIF,journal,acceptanceRate,timeToFirstDecision,publicationTime,subjectAreas,aut_valid,Rev1,AR,Time to first decision,Review time,Submission to acceptance,Acceptance to publication,Acceptance Rate
9385,Journal of Patient Safety,1549-8417,1549-8425,2.2,Q3,HEALTH CARE SCIENCES & SERVICES - SCIE (Q3),0.00334,3.0,,,,,,,,,,,,,
9386,Journal of Pediatric and Adolescent Gynecology,1083-3188,1873-4332,1.8,Q3,OBSTETRICS & GYNECOLOGY - SCIE (Q4); PEDIATRICS - SCIE (Q3),0.00322,2.45,Journal of Pediatric and Adolescent Gynecology,23.54,5.1,24.6,"['Pediatrics, Perinatology and Child Health', 'Obstetrics and Gynecology']",True,35,23,,85,125,9,
9387,JOURNAL OF PEDIATRIC ENDOCRINOLOGY & METABOLISM,0334-018X,2191-0251,1.4,Q4,ENDOCRINOLOGY & METABOLISM - SCIE (Q4); PEDIATRICS - SCIE (Q4),0.00304,3.0,,,,,,,,,,,,,
9388,JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,0277-2116,1536-4801,2.9,Q2,GASTROENTEROLOGY & HEPATOLOGY - SCIE (Q3); NUTRITION & DIETETICS - SCIE (Q3); PEDIATRICS - SCIE (Q2),0.01266,3.1,,,,,,,,,,,,,
9389,Journal of Pediatric Health Care,0891-5245,1532-656X,2.8,Q1,NURSING - SCIE (Q1); PEDIATRICS - SCIE (Q2),0.00198,2.1,Journal of Pediatric Health Care,19.49,2.5,24.0,"['Pediatrics, Perinatology and Child Health']",True,17,19,13,46,46,,
9390,JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,1077-4114,1536-3678,1.2,Q4,HEMATOLOGY - SCIE (Q4); ONCOLOGY - SCIE (Q4); PEDIATRICS - SCIE (Q4),0.00376,3.0,,,,,,,,,,,,,
9391,Journal of Pediatric Infectious Diseases,1305-7707,1305-7693,0.3,Q4,INFECTIOUS DISEASES - SCIE (Q4); PEDIATRICS - SCIE (Q4),0.00023,3.0,,,,,,,,,,,,,
9392,Journal of Pediatric Nursing-Nursing Care of Children & Families,0882-5963,,2.4,Q2,NURSING - SCIE (Q2); PEDIATRICS - SCIE (Q2),0.00501,2.1,,,,,,,,,,,,,
9393,Journal of Pediatric Oncology Nursing,1043-4542,1532-8457,1.7,Q3,NURSING - SCIE (Q3); ONCOLOGY - SCIE (Q4),0.00091,2.8,,,,,,,,,,,,,
9394,JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS,0191-3913,1938-2405,1.2,Q4,OPHTHALMOLOGY - SCIE (Q4); PEDIATRICS - SCIE (Q4),0.00082,2.25,,,,,,,,,,,,,
9395,JOURNAL OF PEDIATRIC ORTHOPAEDICS,0271-6798,1539-2570,1.7,Q3,ORTHOPEDICS - SCIE (Q3); PEDIATRICS - SCIE (Q3),0.00653,2.25,,,,,,,,,,,,,
9396,JOURNAL OF PEDIATRIC ORTHOPAEDICS-PART B,1060-152X,1473-5865,1.1,Q4,ORTHOPEDICS - SCIE (Q4); PEDIATRICS - SCIE (Q4),0.00143,2.25,,,,,,,,,,,,,
9397,Journal of Pediatric Surgery,0022-3468,1531-5037,2.4,Q2,PEDIATRICS - SCIE (Q2); SURGERY - SCIE (Q2),0.01347,2.15,Journal of Pediatric Surgery,33.17,3.1,28.3,"['Surgery', 'Pediatrics, Perinatology and Child Health']",True,21,33,18,32,20,11,
9398,Journal of Pediatric Urology,1477-5131,1873-4898,2.0,Q3,PEDIATRICS - SCIE (Q3); UROLOGY & NEPHROLOGY - SCIE (Q3),0.00516,2.45,Journal of Pediatric Urology,48.32,6.5,20.4,"['Pediatrics, Perinatology and Child Health', 'Urology']",True,45,48,,,102,7,
9399,JOURNAL OF PEDIATRICS,0022-3476,1097-6833,5.1,Q1,PEDIATRICS - SCIE (Q1),0.03591,2.2,Journal of Pediatrics,14.71,2.8,15.7,"['Pediatrics, Perinatology and Child Health']",True,19,14,10,63,107,,15
9400,JOURNAL OF PEPTIDE SCIENCE,1075-2617,1099-1387,2.1,Q3,"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE (Q4); CHEMISTRY, ANALYTICAL - SCIE (Q3)",0.00112,3.3,,,,,,,,,,,,,
9401,JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,0887-3828,1943-5509,2.5,Q3,"CONSTRUCTION & BUILDING TECHNOLOGY - SCIE (Q3); ENGINEERING, CIVIL - SCIE (Q3)",0.00304,2.6,,,,,,,,,,,,,
9402,Journal of PeriAnesthesia Nursing,1089-9472,1532-8473,1.7,Q3,NURSING - SCIE (Q3),0.00125,2.0,Journal of Perianesthesia Nursing,41.34,9.7,39.8,['Medical and Surgical Nursing'],True,67,41,,125,127,,41%
9403,JOURNAL OF PERINATAL & NEONATAL NURSING,0893-2190,1550-5073,1.3,Q4,NURSING - SCIE (Q4); OBSTETRICS & GYNECOLOGY - SCIE (Q4); PEDIATRICS - SCIE (Q4),0.00084,2.3,,,,,,,,,,,,,
9404,JOURNAL OF PERINATAL MEDICINE,0300-5577,1619-3997,2.4,Q2,OBSTETRICS & GYNECOLOGY - SCIE (Q3); PEDIATRICS - SCIE (Q2),0.00394,2.45,,,,,,,,,,,,,
9405,Journal of Perinatology,0743-8346,1476-5543,2.9,Q2,OBSTETRICS & GYNECOLOGY - SCIE (Q2); PEDIATRICS - SCIE (Q2),0.01119,2.45,,,,,,,,,,,,,
9406,Journal of Periodontal and Implant Science,2093-2278,2093-2286,1.9,Q4,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE (Q4)",0.0007,2.6,,,,,,,,,,,,,
9407,JOURNAL OF PERIODONTAL RESEARCH,0022-3484,1600-0765,3.5,Q2,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE (Q2)",0.00327,2.6,,,,,,,,,,,,,
9408,JOURNAL OF PERIODONTOLOGY,0022-3492,1943-3670,4.3,Q1,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE (Q1)",0.00817,2.6,,,,,,,,,,,,,
9409,JOURNAL OF PEST SCIENCE,1612-4758,1612-4766,4.8,Q1,ENTOMOLOGY - SCIE (Q1),0.00542,1.4,,,,,,,,,,,,,
9410,JOURNAL OF PESTICIDE SCIENCE,1348-589X,1349-0923,2.4,Q1,ENTOMOLOGY - SCIE (Q1),0.00068,1.4,,,,,,,,,,,,,
9411,Journal of Petroleum Exploration and Production Technology,2190-0558,2190-0566,2.2,Q1,"ENERGY & FUELS - SCIE (Q4); ENGINEERING, PETROLEUM - SCIE (Q1); GEOSCIENCES, MULTIDISCIPLINARY - SCIE (Q3)",0.00318,2.97,,,,,,,,,,,,,
9412,JOURNAL OF PETROLEUM GEOLOGY,0141-6421,1747-5457,1.8,Q3,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE (Q3)",0.00051,2.7,,,,,,,,,,,,,
9413,JOURNAL OF PETROLOGY,0022-3530,1460-2415,3.9,Q1,GEOCHEMISTRY & GEOPHYSICS - SCIE (Q1),0.00707,2.3,,,,,,,,,,,,,
9414,Journal of Pharmaceutical Analysis,2095-1779,2214-0883,8.8,Q1,PHARMACOLOGY & PHARMACY - SCIE (Q1),0.00323,3.3,Journal of Pharmaceutical Analysis,7.17,1.4,36.7,"['Analytical Chemistry', 'Pharmacy', 'Pharmaceutical Science', 'Drug Discovery', 'Spectroscopy', 'Electrochemistry']",,9,7,,,,,
9415,Journal of Pharmaceutical and Biomedical Analysis,0731-7085,1873-264X,3.4,Q2,"CHEMISTRY, ANALYTICAL - SCIE (Q2); PHARMACOLOGY & PHARMACY - SCIE (Q2)",0.01494,3.1,Journal of Pharmaceutical and Biomedical Analysis,20.86,3.4,1.8,"['Analytical Chemistry', 'Pharmaceutical Science', 'Drug Discovery', 'Spectroscopy', 'Clinical Biochemistry']",True,23,20,11,59,84,3,
9416,Journal of Pharmaceutical Innovation,1872-5120,1939-8042,2.6,Q3,PHARMACOLOGY & PHARMACY - SCIE (Q3),0.00102,3.3,,,,,,,,,,,,,
9417,Journal of Pharmaceutical Investigation,2093-5552,2093-6214,5.5,Q1,PHARMACOLOGY & PHARMACY - SCIE (Q1),0.00135,3.3,,,,,,,,,,,,,
9418,JOURNAL OF PHARMACEUTICAL SCIENCES,0022-3549,1520-6017,3.8,Q2,"CHEMISTRY, MEDICINAL - SCIE (Q2); CHEMISTRY, MULTIDISCIPLINARY - SCIE (Q2); PHARMACOLOGY & PHARMACY - SCIE (Q2)",0.00973,3.4,Journal of Pharmaceutical Sciences,23.71,2.1,16.5,['Pharmaceutical Science'],True,14,23,11,48,85,4,
9419,JOURNAL OF PHARMACOKINETICS AND PHARMACODYNAMICS,1567-567X,1573-8744,2.5,Q3,PHARMACOLOGY & PHARMACY - SCIE (Q3),0.00149,3.3,,,,,,,,,,,,,
9420,JOURNAL OF PHARMACOLOGICAL AND TOXICOLOGICAL METHODS,1056-8719,1873-488X,1.9,Q4,PHARMACOLOGY & PHARMACY - SCIE (Q4); TOXICOLOGY - SCIE (Q4),0.00107,3.2,Journal of Pharmacological and Toxicological Methods,14.16,1.7,6.3,"['Toxicology', 'Pharmacology']",True,11,14,3,108,111,5,
9421,Journal of Pharmacological Sciences,1347-8613,1347-8648,3.5,Q2,PHARMACOLOGY & PHARMACY - SCIE (Q2),0.00308,3.3,Journal of Pharmacological Sciences,13.67,2.4,3.0,"['Molecular Medicine', 'Pharmacology']",,16,13,,,,,
9422,JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,0022-3565,1521-0103,3.5,Q2,PHARMACOLOGY & PHARMACY - SCIE (Q2),0.00771,3.3,,,,,,,,,,,,,
9423,JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES,,1482-1826,2.7,Q3,PHARMACOLOGY & PHARMACY - SCIE (Q3),0.00109,3.3,,,,,,,,,,,,,
9424,JOURNAL OF PHARMACY AND PHARMACOLOGY,0022-3573,2042-7158,3.3,Q3,PHARMACOLOGY & PHARMACY - SCIE (Q3),0.00417,3.3,,,,,,,,,,,,,
9425,JOURNAL OF PHASE EQUILIBRIA AND DIFFUSION,1547-7037,1863-7345,1.4,Q3,"CHEMISTRY, PHYSICAL - SCIE (Q4); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q4); METALLURGY & METALLURGICAL ENGINEERING - SCIE (Q3)",0.00112,2.97,,,,,,,,,,,,,
9426,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,1010-6030,1873-2666,4.3,Q2,"CHEMISTRY, PHYSICAL - SCIE (Q2)",0.01235,3.5,Journal of Photochemistry and Photobiology A: Chemistry,35.03,4.5,1.7,"['Chemistry all', 'Chemical Engineering all', 'Physics and Astronomy all']",True,31,35,,57,83,4,35%
9427,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,1011-1344,1873-2682,5.4,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE (Q2); BIOPHYSICS - SCIE (Q1),0.00948,3.35,Journal of Photochemistry and Photobiology B: Biology,14.55,3.8,1.9,"['Biophysics', 'Radiation', 'Radiological and Ultrasound Technology', 'Radiology, Nuclear Medicine and Imaging']",True,26,14,8,107,125,4,15%
9428,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,1389-5567,1873-2739,13.6,Q1,"CHEMISTRY, PHYSICAL - SCIE (Q1)",0.00231,3.5,Journal of Photochemistry and Photobiology C: Photochemistry Reviews,19.85,4.4,3.1,"['Catalysis', 'Physical and Theoretical Chemistry', 'Organic Chemistry']",True,30,19,24,125,126,6,
9429,Journal of Photonics for Energy,1947-7988,1947-7988,1.7,Q3,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q4); OPTICS - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q3)",0.00078,2.97,,,,,,,,,,,,,
9430,JOURNAL OF PHOTOPOLYMER SCIENCE AND TECHNOLOGY,0914-9244,1349-6336,0.8,Q4,POLYMER SCIENCE - SCIE (Q4),0.00046,2.9,,,,,,,,,,,,,
9431,JOURNAL OF PHYCOLOGY,0022-3646,1529-8817,2.9,Q1,MARINE & FRESHWATER BIOLOGY - SCIE (Q1); PLANT SCIENCES - SCIE (Q2),0.00337,1.9,,,,,,,,,,,,,
9432,JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,0047-2689,1529-7845,4.3,Q2,"CHEMISTRY, MULTIDISCIPLINARY - SCIE (Q2); CHEMISTRY, PHYSICAL - SCIE (Q2); PHYSICS, MULTIDISCIPLINARY - SCIE (Q2)",0.00073,3.1,,,,,,,,,,,,,
9433,JOURNAL OF PHYSICAL CHEMISTRY A,1089-5639,1520-5215,2.9,Q2,"CHEMISTRY, PHYSICAL - SCIE (Q3); PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE (Q2)",0.02668,2.9,,,,,,,,,,,,,
9434,JOURNAL OF PHYSICAL CHEMISTRY B,1520-6106,1520-5207,3.3,Q3,"CHEMISTRY, PHYSICAL - SCIE (Q3)",0.03644,3.5,,,,,,,,,,,,,
9435,Journal of Physical Chemistry C,1932-7447,1932-7455,3.7,Q2,"CHEMISTRY, PHYSICAL - SCIE (Q2); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q2); NANOSCIENCE & NANOTECHNOLOGY - SCIE (Q3)",0.11403,3.9,,,,,,,,,,,,,
9436,Journal of Physical Chemistry Letters,1948-7185,,5.7,Q1,"CHEMISTRY, PHYSICAL - SCIE (Q2); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q2); NANOSCIENCE & NANOTECHNOLOGY - SCIE (Q2); PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE (Q1)",0.08666,3.5,,,,,,,,,,,,,
9437,JOURNAL OF PHYSICAL OCEANOGRAPHY,0022-3670,1520-0485,3.5,Q1,OCEANOGRAPHY - SCIE (Q1),0.00944,2.3,,,,,,,,,,,,,
9438,JOURNAL OF PHYSICAL ORGANIC CHEMISTRY,0894-3230,1099-1395,1.8,Q3,"CHEMISTRY, ORGANIC - SCIE (Q3); CHEMISTRY, PHYSICAL - SCIE (Q4)",0.00125,2.9,,,,,,,,,,,,,
9439,Journal of Physics A-Mathematical and Theoretical,1751-8113,1751-8121,2.1,Q1,"PHYSICS, MATHEMATICAL - SCIE (Q1); PHYSICS, MULTIDISCIPLINARY - SCIE (Q3)",0.01827,2.05,,,,,,,,,,,,,
9440,JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,0022-3697,1879-2553,4.0,Q2,"CHEMISTRY, MULTIDISCIPLINARY - SCIE (Q2); PHYSICS, CONDENSED MATTER - SCIE (Q2)",0.01089,3.0,Journal of Physics and Chemistry of Solids,22.94,3.3,1.9,"['Chemistry all', 'Materials Science all', 'Condensed Matter Physics']",True,23,22,11,67,85,6,23%
9441,JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS,0953-4075,1361-6455,1.6,Q4,"OPTICS - SCIE (Q4); PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE (Q4)",0.00745,2.5,,,,,,,,,,,,,
9442,JOURNAL OF PHYSICS D-APPLIED PHYSICS,0022-3727,1361-6463,3.4,Q2,"PHYSICS, APPLIED - SCIE (Q2)",0.03382,2.7,,,,,,,,,,,,,
9443,JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS,0954-3899,1361-6471,3.5,Q2,"PHYSICS, NUCLEAR - SCIE (Q2); PHYSICS, PARTICLES & FIELDS - SCIE (Q2)",0.00733,2.3,,,,,,,,,,,,,
9444,JOURNAL OF PHYSICS-CONDENSED MATTER,0953-8984,1361-648X,2.7,Q3,"PHYSICS, CONDENSED MATTER - SCIE (Q3)",0.0284,2.8,,,,,,,,,,,,,
9445,Journal of Physics-Energy,2515-7655,2515-7655,6.9,Q1,"ENERGY & FUELS - SCIE (Q2); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q1)",0.00276,4.15,,,,,,,,,,,,,
9446,Journal of Physics-Materials,,2515-7639,4.8,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q2)",0.00283,3.5,,,,,,,,,,,,,
9447,Journal of Physiological Anthropology,1880-6805,1880-6805,3.1,Q2,PHYSIOLOGY - SCIE (Q2),0.00074,2.8,,,,,,,,,,,,,
9448,Journal of Physiological Sciences,1880-6546,1880-6562,2.3,Q3,PHYSIOLOGY - SCIE (Q3),0.00201,2.8,,,,,,,,,,,,,
9449,JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,1138-7548,1877-8755,3.4,Q2,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE (Q3); PHYSIOLOGY - SCIE (Q2),0.00167,3.25,,,,,,,,,,,,,
9450,JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,0867-5910,,2.2,Q3,PHYSIOLOGY - SCIE (Q3),0.00165,2.8,,,,,,,,,,,,,
9451,JOURNAL OF PHYSIOLOGY-LONDON,0022-3751,1469-7793,5.5,Q1,NEUROSCIENCES - SCIE (Q1); PHYSIOLOGY - SCIE (Q1),0.02511,3.1,,,,,,,,,,,,,
9452,Journal of Physiotherapy,1836-9553,1836-9561,12.1,Q1,ORTHOPEDICS - SCIE (Q1); REHABILITATION - SCIE (Q1),0.00333,2.13,Journal of Physiotherapy,14.23,9.6,4.8,"['Physical Therapy, Sports Therapy and Rehabilitation']",,67,14,,,,,
9453,JOURNAL OF PHYTOPATHOLOGY,0931-1785,1439-0434,1.5,Q3,PLANT SCIENCES - SCIE (Q3),0.00115,2.1,,,,,,,,,,,,,
9454,JOURNAL OF PINEAL RESEARCH,0742-3098,1600-079X,10.3,Q1,ENDOCRINOLOGY & METABOLISM - SCIE (Q1); NEUROSCIENCES - SCIE (Q1); PHYSIOLOGY - SCIE (Q1),0.00615,3.33,,,,,,,,,,,,,
9455,Journal of Pipeline Systems Engineering and Practice,1949-1190,1949-1204,2.0,Q3,"ENGINEERING, CIVIL - SCIE (Q3); WATER RESOURCES - SCIE (Q3)",0.00102,2.65,,,,,,,,,,,,,
9456,JOURNAL OF PLANKTON RESEARCH,0142-7873,1464-3774,2.1,Q2,MARINE & FRESHWATER BIOLOGY - SCIE (Q2); OCEANOGRAPHY - SCIE (Q3),0.00192,2.0,,,,,,,,,,,,,
9457,JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY,0971-7811,0974-1275,1.9,Q3,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE (Q4); PLANT SCIENCES - SCIE (Q3),0.00077,2.9,,,,,,,,,,,,,
9458,JOURNAL OF PLANT BIOLOGY,1226-9239,1867-0725,2.9,Q2,PLANT SCIENCES - SCIE (Q2),0.00098,2.1,,,,,,,,,,,,,
9459,Journal of Plant Diseases and Protection,1861-3829,1861-3837,2.0,Q2,"AGRICULTURE, MULTIDISCIPLINARY - SCIE (Q2); PLANT SCIENCES - SCIE (Q3)",0.00135,1.75,,,,,,,,,,,,,
9460,Journal of Plant Ecology,1752-9921,1752-993X,2.7,Q2,ECOLOGY - SCIE (Q2); FORESTRY - SCIE (Q2); PLANT SCIENCES - SCIE (Q2),0.00209,2.17,,,,,,,,,,,,,
9461,JOURNAL OF PLANT GROWTH REGULATION,0721-7595,1435-8107,4.8,Q1,PLANT SCIENCES - SCIE (Q1),0.00481,2.1,,,,,,,,,,,,,
9462,Journal of Plant Interactions,1742-9145,1742-9153,3.2,Q2,PLANT SCIENCES - SCIE (Q2),0.0017,2.1,,,,,,,,,,,,,
9463,JOURNAL OF PLANT NUTRITION,0190-4167,1532-4087,2.1,Q2,PLANT SCIENCES - SCIE (Q2),0.00351,2.1,,,,,,,,,,,,,
9464,JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,1436-8730,1522-2624,2.5,Q2,AGRONOMY - SCIE (Q2); PLANT SCIENCES - SCIE (Q2); SOIL SCIENCE - SCIE (Q3),0.00176,2.57,,,,,,,,,,,,,
9465,JOURNAL OF PLANT PATHOLOGY,1125-4653,2239-7264,2.2,Q2,PLANT SCIENCES - SCIE (Q2),0.00176,2.1,,,,,,,,,,,,,
9466,JOURNAL OF PLANT PHYSIOLOGY,0176-1617,1618-1328,4.3,Q1,PLANT SCIENCES - SCIE (Q1),0.00533,2.1,Journal of Plant Physiology,18.37,2.0,2.1,"['Physiology', 'Agronomy and Crop Science', 'Plant Science']",True,14,18,3,82,103,5,18%
9467,Journal of Plant Registrations,1936-5209,1940-3496,0.8,Q4,AGRONOMY - SCIE (Q4); PLANT SCIENCES - SCIE (Q4),0.00038,2.0,,,,,,,,,,,,,
9468,JOURNAL OF PLANT RESEARCH,0918-9440,1618-0860,2.8,Q2,PLANT SCIENCES - SCIE (Q2),0.00218,2.1,,,,,,,,,,,,,
9469,JOURNAL OF PLASMA PHYSICS,0022-3778,1469-7807,2.5,Q2,"PHYSICS, FLUIDS & PLASMAS - SCIE (Q2)",0.00464,2.3,,,,,,,,,,,,,
9470,JOURNAL OF PLASTIC FILM & SHEETING,8756-0879,1530-8014,3.1,Q3,"MATERIALS SCIENCE, COATINGS & FILMS - SCIE (Q3)",0.00022,3.1,,,,,,,,,,,,,
9471,Journal of Plastic Reconstructive and Aesthetic Surgery,1748-6815,1878-0539,2.7,Q2,SURGERY - SCIE (Q2),0.0082,2.1,"Journal of Plastic, Reconstructive and Aesthetic Surgery",41.09,16.7,18.9,['Surgery'],True,116,41,,,211,6,
9472,Journal of Plastic Surgery and Hand Surgery,2000-656X,2000-6764,1.2,Q4,ORTHOPEDICS - SCIE (Q4); SURGERY - SCIE (Q4),0.00126,2.2,,,,,,,,,,,,,
9473,JOURNAL OF POLYMER ENGINEERING,0334-6447,2191-0340,2.0,Q3,POLYMER SCIENCE - SCIE (Q3),0.00098,2.9,,,,,,,,,,,,,
9474,JOURNAL OF POLYMER MATERIALS,0973-8622,,0.2,Q4,POLYMER SCIENCE - SCIE (Q4),6e-05,2.9,,,,,,,,,,,,,
9475,JOURNAL OF POLYMER RESEARCH,1022-9760,1572-8935,2.8,Q3,POLYMER SCIENCE - SCIE (Q3),0.00454,2.9,,,,,,,,,,,,,
9476,JOURNAL OF POLYMER SCIENCE,2642-4150,2642-4169,3.4,Q2,POLYMER SCIENCE - SCIE (Q2),0.00334,2.9,,,,,,,,,,,,,
9477,JOURNAL OF POLYMERS AND THE ENVIRONMENT,1566-2543,1572-8919,5.3,Q1,"ENGINEERING, ENVIRONMENTAL - SCIE (Q2); POLYMER SCIENCE - SCIE (Q1)",0.00714,3.55,,,,,,,,,,,,,
9478,JOURNAL OF POROUS MATERIALS,1380-2224,1573-4854,2.6,Q2,"CHEMISTRY, APPLIED - SCIE (Q2); CHEMISTRY, PHYSICAL - SCIE (Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q3)",0.00248,3.17,,,,,,,,,,,,,
9479,JOURNAL OF POROUS MEDIA,1091-028X,1934-0508,2.3,Q3,"ENGINEERING, MECHANICAL - SCIE (Q3); MECHANICS - SCIE (Q3); THERMODYNAMICS - SCIE (Q3)",0.00067,2.47,,,,,,,,,,,,,
9480,JOURNAL OF PORPHYRINS AND PHTHALOCYANINES,1088-4246,1099-1409,1.5,Q4,"CHEMISTRY, MULTIDISCIPLINARY - SCIE (Q4)",0.00115,3.2,,,,,,,,,,,,,
9481,Journal of Postgraduate Medicine,0022-3859,0972-2823,1.6,Q3,"MEDICINE, GENERAL & INTERNAL - SCIE (Q3)",0.0009,2.7,,,,,,,,,,,,,
9482,JOURNAL OF POULTRY SCIENCE,1346-7395,1349-0486,1.5,Q3,"AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE (Q3)",0.00048,1.8,,,,,,,,,,,,,
9483,Journal of Power Electronics,1598-2092,2093-4718,1.4,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q4)",0.00118,2.8,,,,,,,,,,,,,
9484,JOURNAL OF POWER SOURCES,0378-7753,1873-2755,9.2,Q1,"CHEMISTRY, PHYSICAL - SCIE (Q1); ELECTROCHEMISTRY - SCIE (Q1); ENERGY & FUELS - SCIE (Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q1)",0.08765,3.95,Journal of Power Sources,20.94,3.7,2.0,"['Renewable Energy, Sustainability and the Environment', 'Energy Engineering and Power Technology', 'Physical and Theoretical Chemistry', 'Electrical and Electronic Engineering']",True,25,20,16,65,83,12,
9485,JOURNAL OF PRESSURE VESSEL TECHNOLOGY-TRANSACTIONS OF THE ASME,0094-9930,1528-8978,1.0,Q4,"ENGINEERING, MECHANICAL - SCIE (Q4)",0.00094,2.5,,,,,,,,,,,,,
9486,JOURNAL OF PROCESS CONTROL,0959-1524,1873-2771,4.2,Q2,"AUTOMATION & CONTROL SYSTEMS - SCIE (Q2); ENGINEERING, CHEMICAL - SCIE (Q2)",0.00485,3.15,Journal of Process Control,22.43,5.9,3.0,"['Control and Systems Engineering', 'Modeling and Simulation', 'Computer Science Applications', 'Industrial and Manufacturing Engineering']",True,41,22,,139,192,,
9487,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,0737-6782,1540-5885,10.5,Q1,"ENGINEERING, INDUSTRIAL - SCIE (Q1)",0.00385,3.3,,,,,,,,,,,,,
9488,JOURNAL OF PROFESSIONAL NURSING,8755-7223,1532-8481,2.5,Q2,NURSING - SCIE (Q2),0.00246,2.0,Journal of Professional Nursing,16.58,6.0,2.5,['Nursing all'],True,42,16,,144,164,11,
9489,JOURNAL OF PROPULSION AND POWER,0748-4658,1533-3876,1.9,Q2,"ENGINEERING, AEROSPACE - SCIE (Q2)",0.00277,1.8,,,,,,,,,,,,,
9490,JOURNAL OF PROSTHETIC DENTISTRY,0022-3913,1097-6841,4.6,Q1,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE (Q1)",0.01018,2.6,Journal of Prosthetic Dentistry,26.72,6.1,69.9,"['Oral Surgery', 'Dentistry all']",True,42,26,,60,128,,27%
9491,Journal of Prosthodontic Research,1883-1958,2212-4632,3.6,Q1,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE (Q1)",0.00275,2.6,,,,,,,,,,,,,
9492,Journal of Prosthodontics-Implant Esthetic and Reconstructive Dentistry,1059-941X,1532-849X,4.0,Q1,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE (Q1)",0.00513,2.6,,,,,,,,,,,,,
9493,JOURNAL OF PROTEOME RESEARCH,1535-3893,1535-3907,4.4,Q1,BIOCHEMICAL RESEARCH METHODS - SCIE (Q1),0.02264,3.0,,,,,,,,,,,,,
9494,Journal of Proteomics,1874-3919,1876-7737,3.3,Q2,BIOCHEMICAL RESEARCH METHODS - SCIE (Q2),0.0082,3.0,Journal of Proteomics,38.36,5.0,1.9,"['Biophysics', 'Biochemistry']",True,35,38,,97,117,5,38%
9495,Journal of Pseudo-Differential Operators and Applications,1662-9981,1662-999X,1.1,Q2,"MATHEMATICS - SCIE (Q2); MATHEMATICS, APPLIED - SCIE (Q3)",0.00079,1.1,,,,,,,,,,,,,
9496,Journal of Psychiatric and Mental Health Nursing,1351-0126,1365-2850,2.7,Q1,NURSING - SCIE (Q1); PSYCHIATRY - SCIE (Q3),0.00235,2.67,,,,,,,,,,,,,
9497,Journal of Psychiatric Practice,1527-4160,1538-1145,1.9,Q4,PSYCHIATRY - SCIE (Q4),0.00098,3.35,,,,,,,,,,,,,
