Journal Name,ISSN,EISSN,IF,Best Quartile,Quartiles,Eigen Factor,MIF,Column1
PHASE TRANSITIONS,0141-1594,1029-0338,1.6,Q3,"CRYSTALLOGRAPHY - SCIE (Q3); PHYSICS, CONDENSED MATTER - SCIE (Q4)",0.00089,2.45,
PHILIPPINE AGRICULTURAL SCIENTIST,0031-7454,N/A,0.2,Q4,"AGRICULTURE, MULTIDISCIPLINARY - SCIE (Q4)",8.00E-05,1.4,
Philippine Journal of Crop Science,0115-463X,N/A,0.2,Q4,AGRONOMY - SCIE (Q4),3.00E-05,1.9,
Philosophia Mathematica,0031-8019,1744-6406,1.1,Q2,HISTORY & PHILOSOPHY OF SCIENCE - SCIE (Q2),0.00058,0.75,
PHILOSOPHICAL MAGAZINE,1478-6435,1478-6443,1.6,Q3,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q4); METALLURGY & METALLURGICAL ENGINEERING - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q4); PHYSICS, CONDENSED MATTER - SCIE (Q4)",0.00274,2.73,
PHILOSOPHICAL MAGAZINE LETTERS,0950-0839,1362-3036,1.2,Q3,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q4); METALLURGY & METALLURGICAL ENGINEERING - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q4); PHYSICS, CONDENSED MATTER - SCIE (Q4)",0.00059,2.73,
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,1364-503X,1471-2962,5,Q2,MULTIDISCIPLINARY SCIENCES - SCIE (Q2),0.02021,2.7,
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8436,1471-2970,6.3,Q1,BIOLOGY - SCIE (Q1),0.04371,2.6,
Philosophy Ethics and Humanities in Medicine,1747-5341,1747-5341,1.9,Q1,HISTORY & PHILOSOPHY OF SCIENCE - SCIE (Q1); MEDICAL ETHICS - SCIE (Q3),0.00041,1.48,
PHILOSOPHY OF SCIENCE,0031-8248,1539-767X,1.7,Q1,HISTORY & PHILOSOPHY OF SCIENCE - SCIE (Q1),0.00365,0.75,
PHLEBOLOGY,0268-3555,1758-1125,1.7,Q4,PERIPHERAL VASCULAR DISEASE - SCIE (Q4),0.0018,3.1,
PHONETICA,0031-8388,1423-0321,0.9,Q4,ACOUSTICS - SCIE (Q4); AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE (Q4),0.00026,2.15,
PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,1042-6507,1563-5325,1.3,Q4,"CHEMISTRY, INORGANIC & NUCLEAR - SCIE (Q4); CHEMISTRY, ORGANIC - SCIE (Q4)",0.00113,2.3,
Photoacoustics,2213-5979,2213-5979,7.9,Q1,"ENGINEERING, BIOMEDICAL - SCIE (Q1); INSTRUMENTS & INSTRUMENTATION - SCIE (Q1); RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE (Q1)",0.00361,3,
Photobiomodulation Photomedicine and Laser Surgery,N/A,2578-5478,1.8,Q3,SURGERY - SCIE (Q3),0.00109,2.1,
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,1474-905X,1474-9092,3.1,Q2,"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE (Q3); BIOPHYSICS - SCIE (Q2); CHEMISTRY, PHYSICAL - SCIE (Q3)",0.00482,3.4,
PHOTOCHEMISTRY AND PHOTOBIOLOGY,0031-8655,1751-1097,3.3,Q2,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE (Q3); BIOPHYSICS - SCIE (Q2),0.00455,3.35,
PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,0905-4383,1600-0781,2.6,Q2,DERMATOLOGY - SCIE (Q2),0.00137,2.5,
Photodiagnosis and Photodynamic Therapy,1572-1000,1873-1597,3.3,Q3,ONCOLOGY - SCIE (Q3),0.00589,3.6,
PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,0099-1112,2374-8079,1.3,Q4,"GEOGRAPHY, PHYSICAL - SCIE (Q4); GEOSCIENCES, MULTIDISCIPLINARY - SCIE (Q4); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE (Q4); REMOTE SENSING - SCIE (Q4)",0.0006,3.23,
PHOTOGRAMMETRIC RECORD,0031-868X,1477-9730,2.4,Q3,"GEOGRAPHY, PHYSICAL - SCIE (Q3); GEOSCIENCES, MULTIDISCIPLINARY - SCIE (Q3); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE (Q3); REMOTE SENSING - SCIE (Q3)",0.0003,3.23,
PHOTONIC NETWORK COMMUNICATIONS,1387-974X,1572-8188,1.7,Q3,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE (Q4); OPTICS - SCIE (Q3); TELECOMMUNICATIONS - SCIE (Q4)",0.00075,3.37,
Photonic Sensors,1674-9251,2190-7439,4.4,Q1,INSTRUMENTS & INSTRUMENTATION - SCIE (Q1); OPTICS - SCIE (Q1),0.0011,2.65,
Photonics,N/A,2304-6732,2.4,Q3,OPTICS - SCIE (Q3),0.00353,2.7,
Photonics and Nanostructures-Fundamentals and Applications,1569-4410,1569-4429,2.7,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q3); NANOSCIENCE & NANOTECHNOLOGY - SCIE (Q3); OPTICS - SCIE (Q2); PHYSICS, APPLIED - SCIE (Q2)",0.00107,3.4,
Photonics Research,2327-9125,2327-9125,7.6,Q1,OPTICS - SCIE (Q1),0.01631,2.7,
PhotoniX,N/A,2662-1991,16.5,Q1,OPTICS - SCIE (Q1),0.0015,2.7,
PHOTOSYNTHESIS RESEARCH,0166-8595,1573-5079,3.7,Q2,PLANT SCIENCES - SCIE (Q2),0.00352,2.1,
PHOTOSYNTHETICA,0300-3604,1573-9058,2.7,Q2,PLANT SCIENCES - SCIE (Q2),0.0021,2.1,
PHYCOLOGIA,0031-8884,2330-2968,1.6,Q3,MARINE & FRESHWATER BIOLOGY - SCIE (Q3); PLANT SCIENCES - SCIE (Q3),0.00128,1.9,
PHYCOLOGICAL RESEARCH,1322-0829,1440-1835,1.5,Q3,MARINE & FRESHWATER BIOLOGY - SCIE (Q3),0.00048,1.7,
PHYLLOMEDUSA,1519-1397,2316-9079,0.4,Q4,ZOOLOGY - SCIE (Q4),0.0002,1.3,
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,0378-4371,1873-2119,3.3,Q2,"PHYSICS, MULTIDISCIPLINARY - SCIE (Q2)",0.02867,2.6,
PHYSICA B-CONDENSED MATTER,0921-4526,1873-2135,2.8,Q2,"PHYSICS, CONDENSED MATTER - SCIE (Q2)",0.00991,2.8,
PHYSICA C-SUPERCONDUCTIVITY AND ITS APPLICATIONS,0921-4534,1873-2143,1.7,Q3,"PHYSICS, APPLIED - SCIE (Q3); PHYSICS, CONDENSED MATTER - SCIE (Q3)",0.00187,2.75,
PHYSICA D-NONLINEAR PHENOMENA,0167-2789,1872-8022,4,Q1,"MATHEMATICS, APPLIED - SCIE (Q1); PHYSICS, FLUIDS & PLASMAS - SCIE (Q1); PHYSICS, MATHEMATICAL - SCIE (Q1); PHYSICS, MULTIDISCIPLINARY - SCIE (Q2)",0.00679,1.92,
PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,1386-9477,1873-1759,3.3,Q2,"NANOSCIENCE & NANOTECHNOLOGY - SCIE (Q3); PHYSICS, CONDENSED MATTER - SCIE (Q2)",0.00823,3.75,
Physica Medica-European Journal of Medical Physics,1120-1797,1724-191X,3.4,Q2,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE (Q2)",0.00739,2.8,
PHYSICA SCRIPTA,0031-8949,1402-4896,2.9,Q2,"PHYSICS, MULTIDISCIPLINARY - SCIE (Q2)",0.01184,2.6,
PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,1862-6300,1862-6319,2,Q3,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q3); PHYSICS, CONDENSED MATTER - SCIE (Q3)",0.0066,3,
PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,0370-1972,1521-3951,1.6,Q4,"PHYSICS, CONDENSED MATTER - SCIE (Q4)",0.00501,2.8,
Physica Status Solidi-Rapid Research Letters,1862-6254,1862-6270,2.8,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q3); PHYSICS, APPLIED - SCIE (Q2); PHYSICS, CONDENSED MATTER - SCIE (Q2)",0.00528,3,
PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,0194-2638,1541-3144,2.1,Q2,PEDIATRICS - SCIE (Q3); REHABILITATION - SCIE (Q2),0.00115,2.08,
Physical and Engineering Sciences in Medicine,2662-4729,2662-4737,4.4,Q1,"ENGINEERING, BIOMEDICAL - SCIE (Q2); RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE (Q1)",0.00131,3.2,
PHYSICAL BIOLOGY,1478-3967,1478-3975,2,Q3,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE (Q4); BIOPHYSICS - SCIE (Q3),0.00187,3.35,
PHYSICAL CHEMISTRY CHEMICAL PHYSICS,1463-9076,1463-9084,3.3,Q2,"CHEMISTRY, PHYSICAL - SCIE (Q3); PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE (Q2)",0.08661,2.9,
Physical Communication,1874-4907,1874-4907,2.2,Q3,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE (Q3); TELECOMMUNICATIONS - SCIE (Q3)",0.00238,3.25,
PHYSICAL GEOGRAPHY,0272-3646,1930-0557,1.6,Q4,"ENVIRONMENTAL SCIENCES - SCIE (Q4); GEOGRAPHY, PHYSICAL - SCIE (Q4); GEOSCIENCES, MULTIDISCIPLINARY - SCIE (Q4); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE (Q4)",0.00065,3.05,
Physical Medicine and Rehabilitation Clinics of North America,1047-9651,1558-1381,1.7,Q3,REHABILITATION - SCIE (Q3),0.00149,1.95,
Physical Mesomechanics,1029-9599,1990-5424,1.6,Q3,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING - SCIE (Q3); MECHANICS - SCIE (Q3)",0.00072,2.4,
PHYSICAL REVIEW A,2469-9926,2469-9934,2.9,Q2,"OPTICS - SCIE (Q2); PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE (Q2)",0.08984,2.5,
Physical Review Accelerators and Beams,N/A,2469-9888,1.7,Q3,"PHYSICS, NUCLEAR - SCIE (Q3); PHYSICS, PARTICLES & FIELDS - SCIE (Q3)",0.00581,2.3,
Physical Review Applied,2331-7019,2331-7019,4.6,Q2,"PHYSICS, APPLIED - SCIE (Q2)",0.04608,2.7,
PHYSICAL REVIEW B,2469-9950,2469-9969,3.7,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q2); PHYSICS, APPLIED - SCIE (Q2); PHYSICS, CONDENSED MATTER - SCIE (Q2)",0.21891,3,
PHYSICAL REVIEW C,2469-9985,2469-9993,3.1,Q2,"PHYSICS, NUCLEAR - SCIE (Q2)",0.02958,1.8,
PHYSICAL REVIEW D,2470-0010,2470-0029,5,Q1,"ASTRONOMY & ASTROPHYSICS - SCIE (Q1); PHYSICS, PARTICLES & FIELDS - SCIE (Q1)",0.17618,2.65,
PHYSICAL REVIEW E,2470-0045,2470-0053,2.4,Q1,"PHYSICS, FLUIDS & PLASMAS - SCIE (Q2); PHYSICS, MATHEMATICAL - SCIE (Q1)",0.06214,1.9,
Physical Review Fluids,2469-990X,2469-990X,2.7,Q2,"PHYSICS, FLUIDS & PLASMAS - SCIE (Q2)",0.02208,2.3,
PHYSICAL REVIEW LETTERS,0031-9007,1079-7114,8.6,Q1,"PHYSICS, MULTIDISCIPLINARY - SCIE (Q1)",0.36516,2.6,
Physical Review Materials,2475-9953,2475-9953,3.4,Q3,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q3)",0.03165,3.5,
Physical Review Physics Education Research,2469-9896,2469-9896,3.1,Q2,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE (Q2)",0.00215,2.8,
Physical Review X,2160-3308,2160-3308,12.5,Q1,"PHYSICS, MULTIDISCIPLINARY - SCIE (Q1)",0.07125,2.6,
Physical Therapy,0031-9023,1538-6724,3.2,Q1,ORTHOPEDICS - SCIE (Q1); REHABILITATION - SCIE (Q1),0.00714,2.13,
Physical Therapy in Sport,1466-853X,N/A,2.4,Q2,REHABILITATION - SCIE (Q2); SPORT SCIENCES - SCIE (Q3),0.00391,2.23,
PHYSICIAN AND SPORTSMEDICINE,0091-3847,2326-3660,2.3,Q2,ORTHOPEDICS - SCIE (Q2); PRIMARY HEALTH CARE - SCIE (Q3); SPORT SCIENCES - SCIE (Q3),0.00224,2.5,
Physicochemical Problems of Mineral Processing,1643-1049,2084-4735,1.5,Q3,"CHEMISTRY, PHYSICAL - SCIE (Q4); MINING & MINERAL PROCESSING - SCIE (Q3)",0.00103,2.85,
Physics and Chemistry of Glasses-European Journal of Glass Science and Technology Part B,1753-3562,N/A,0.6,Q4,"CHEMISTRY, PHYSICAL - SCIE (Q4); MATERIALS SCIENCE, CERAMICS - SCIE (Q4)",0.00013,2.6,
PHYSICS AND CHEMISTRY OF LIQUIDS,0031-9104,1029-0451,1.2,Q4,"CHEMISTRY, PHYSICAL - SCIE (Q4); PHYSICS, CONDENSED MATTER - SCIE (Q4)",0.00059,3.15,
PHYSICS AND CHEMISTRY OF MINERALS,0342-1791,1432-2021,1.4,Q3,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE (Q4); MINERALOGY - SCIE (Q3)",0.00122,2.8,
PHYSICS AND CHEMISTRY OF THE EARTH,1474-7065,1873-5193,3.7,Q2,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE (Q2); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE (Q2); WATER RESOURCES - SCIE (Q2)",0.00249,2.87,
PHYSICS IN MEDICINE AND BIOLOGY,0031-9155,1361-6560,3.5,Q2,"ENGINEERING, BIOMEDICAL - SCIE (Q3); RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE (Q2)",0.01938,3.2,
PHYSICS IN PERSPECTIVE,1422-6944,1422-6960,0.4,Q4,HISTORY & PHILOSOPHY OF SCIENCE - SCIE (Q4),9.00E-05,0.75,
PHYSICS LETTERS A,0375-9601,1873-2429,2.6,Q3,"PHYSICS, MULTIDISCIPLINARY - SCIE (Q3)",0.01254,2.6,
PHYSICS LETTERS B,0370-2693,1873-2445,4.4,Q1,"ASTRONOMY & ASTROPHYSICS - SCIE (Q2); PHYSICS, NUCLEAR - SCIE (Q1); PHYSICS, PARTICLES & FIELDS - SCIE (Q1)",0.04585,2.37,
PHYSICS OF ATOMIC NUCLEI,1063-7788,1562-692X,0.4,Q4,"PHYSICS, NUCLEAR - SCIE (Q4); PHYSICS, PARTICLES & FIELDS - SCIE (Q4)",0.00096,2.3,
PHYSICS OF FLUIDS,1070-6631,1089-7666,4.6,Q1,"MECHANICS - SCIE (Q1); PHYSICS, FLUIDS & PLASMAS - SCIE (Q1)",0.03683,2.4,
Physics of Life Reviews,1571-0645,1873-1457,11.7,Q1,BIOLOGY - SCIE (Q1); BIOPHYSICS - SCIE (Q1),0.00211,2.8,
PHYSICS OF METALS AND METALLOGRAPHY,0031-918X,1555-6190,1.2,Q3,METALLURGY & METALLURGICAL ENGINEERING - SCIE (Q3),0.0013,1.9,
PHYSICS OF PARTICLES AND NUCLEI,1063-7796,1531-8559,0.4,Q4,"PHYSICS, PARTICLES & FIELDS - SCIE (Q4)",0.0005,2.8,
PHYSICS OF PLASMAS,1070-664X,1089-7674,2.2,Q3,"PHYSICS, FLUIDS & PLASMAS - SCIE (Q3)",0.02533,2.3,
Physics of the Dark Universe,N/A,2212-6864,5.5,Q1,ASTRONOMY & ASTROPHYSICS - SCIE (Q1),0.00687,2.5,
PHYSICS OF THE EARTH AND PLANETARY INTERIORS,0031-9201,1872-7395,2.3,Q2,GEOCHEMISTRY & GEOPHYSICS - SCIE (Q2),0.00466,2.3,
PHYSICS OF THE SOLID STATE,1063-7834,1090-6460,0.6,Q4,"PHYSICS, CONDENSED MATTER - SCIE (Q4)",0.00188,2.8,
Physics of Wave Phenomena,1541-308X,1934-807X,1.4,Q3,"PHYSICS, MULTIDISCIPLINARY - SCIE (Q3)",0.00028,2.6,
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,1873-6270,30,Q1,"PHYSICS, MULTIDISCIPLINARY - SCIE (Q1)",0.02133,2.6,
PHYSICS TEACHER,0031-921X,1943-4928,0.9,Q4,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE (Q4); PHYSICS, MULTIDISCIPLINARY - SCIE (Q4)",0.00126,2.7,
PHYSICS TODAY,0031-9228,1945-0699,3.5,Q2,"PHYSICS, MULTIDISCIPLINARY - SCIE (Q2)",0.00174,2.6,
PHYSICS WORLD,0953-8585,2058-7058,0.6,Q4,"PHYSICS, MULTIDISCIPLINARY - SCIE (Q4)",0.0002,2.6,
PHYSICS-USPEKHI,1063-7869,1468-4780,2.7,Q2,"PHYSICS, MULTIDISCIPLINARY - SCIE (Q2)",0.00232,2.6,
PHYSIKALISCHE MEDIZIN REHABILITATIONSMEDIZIN KURORTMEDIZIN,0940-6689,1439-085X,0.8,Q4,REHABILITATION - SCIE (Q4); SPORT SCIENCES - SCIE (Q4),0.00015,2.23,
PHYSIOLOGIA PLANTARUM,0031-9317,1399-3054,6.4,Q1,PLANT SCIENCES - SCIE (Q1),0.00756,2.1,
PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,1522-2152,1537-5293,1.6,Q2,PHYSIOLOGY - SCIE (Q4); ZOOLOGY - SCIE (Q2),0.00116,2.05,
PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY,0885-5765,0885-5765,2.7,Q2,PLANT SCIENCES - SCIE (Q2),0.0016,2.1,
PHYSIOLOGICAL ENTOMOLOGY,0307-6962,1365-3032,1.5,Q2,ENTOMOLOGY - SCIE (Q2),0.0007,1.4,
PHYSIOLOGICAL GENOMICS,1094-8341,1531-2267,4.6,Q1,CELL BIOLOGY - SCIE (Q2); GENETICS & HEREDITY - SCIE (Q1); PHYSIOLOGY - SCIE (Q1),0.00275,3.4,
PHYSIOLOGICAL MEASUREMENT,0967-3334,1361-6579,3.2,Q2,"BIOPHYSICS - SCIE (Q2); ENGINEERING, BIOMEDICAL - SCIE (Q3); PHYSIOLOGY - SCIE (Q2)",0.00502,3.13,
PHYSIOLOGICAL RESEARCH,0862-8408,1802-9973,2.1,Q3,PHYSIOLOGY - SCIE (Q3),0.00259,2.8,
PHYSIOLOGICAL REVIEWS,0031-9333,1522-1210,33.6,Q1,PHYSIOLOGY - SCIE (Q1),0.02485,2.8,
PHYSIOLOGY,1548-9213,1548-9221,8.4,Q1,PHYSIOLOGY - SCIE (Q1),0.00432,2.8,
PHYSIOLOGY & BEHAVIOR,0031-9384,1873-507X,2.9,Q2,BEHAVIORAL SCIENCES - SCIE (Q2),0.01232,2.6,
PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS,0971-5894,0974-0430,3.5,Q2,PLANT SCIENCES - SCIE (Q2),0.00329,2.1,
Physiology International,2498-602X,2498-602X,1.4,Q4,PHYSIOLOGY - SCIE (Q4),0.00046,2.8,
Physiotherapy,0031-9406,1873-1465,3.3,Q1,REHABILITATION - SCIE (Q1),0.00259,1.95,
Physiotherapy Canada,0300-0508,1708-8313,1,Q4,REHABILITATION - SCIE (Q4),0.00066,1.95,
PHYSIOTHERAPY THEORY AND PRACTICE,0959-3985,1532-5040,2,Q2,REHABILITATION - SCIE (Q2),0.00406,1.95,
Phytobiomes Journal,N/A,2471-2906,4.4,Q1,MICROBIOLOGY - SCIE (Q2); PLANT SCIENCES - SCIE (Q1),0.00118,2.75,
PHYTOCHEMICAL ANALYSIS,0958-0344,1099-1565,3.3,Q2,"BIOCHEMICAL RESEARCH METHODS - SCIE (Q2); CHEMISTRY, ANALYTICAL - SCIE (Q2); PLANT SCIENCES - SCIE (Q2)",0.00163,2.67,
PHYTOCHEMISTRY,0031-9422,1873-3700,3.8,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE (Q2); PLANT SCIENCES - SCIE (Q1),0.00688,2.9,
Phytochemistry Letters,1874-3900,1876-7486,1.7,Q3,"CHEMISTRY, MEDICINAL - SCIE (Q4); PLANT SCIENCES - SCIE (Q3)",0.0025,2.9,
PHYTOCHEMISTRY REVIEWS,1568-7767,1572-980X,7.7,Q1,PLANT SCIENCES - SCIE (Q1),0.00307,2.1,
PHYTOCOENOLOGIA,0340-269X,2363-7153,1,Q4,ECOLOGY - SCIE (Q4); PLANT SCIENCES - SCIE (Q4),0.00033,2.35,
PhytoKeys,1314-2011,1314-2003,1.4,Q3,PLANT SCIENCES - SCIE (Q3),0.00208,2.1,
PHYTOMEDICINE,0944-7113,1618-095X,7.9,Q1,"CHEMISTRY, MEDICINAL - SCIE (Q1); INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE (Q1); PHARMACOLOGY & PHARMACY - SCIE (Q1); PLANT SCIENCES - SCIE (Q1)",0.01167,2.95,
PHYTON-ANNALES REI BOTANICAE,0079-2047,N/A,0.5,Q4,PLANT SCIENCES - SCIE (Q4),5.00E-05,2.1,
PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,0031-9457,1851-5657,1.7,Q3,PLANT SCIENCES - SCIE (Q3),0.00045,2.1,
PHYTOPARASITICA,0334-2123,1876-7184,1.4,Q2,AGRONOMY - SCIE (Q3); ENTOMOLOGY - SCIE (Q2); PLANT SCIENCES - SCIE (Q3),0.00106,1.8,
PHYTOPATHOLOGIA MEDITERRANEA,0031-9465,1593-2095,2.4,Q2,AGRONOMY - SCIE (Q2); PLANT SCIENCES - SCIE (Q2),0.00078,2,
PHYTOPATHOLOGY,0031-949X,1943-7684,3.2,Q2,PLANT SCIENCES - SCIE (Q2),0.00624,2.1,
Phytopathology Research,2096-5362,2524-4167,3.4,Q2,PLANT SCIENCES - SCIE (Q2),0.00062,2.1,
Phytotaxa,1179-3155,1179-3163,1.1,Q4,PLANT SCIENCES - SCIE (Q4),0.00814,2.1,
PHYTOTHERAPY RESEARCH,0951-418X,1099-1573,7.2,Q1,"CHEMISTRY, MEDICINAL - SCIE (Q1); PHARMACOLOGY & PHARMACY - SCIE (Q1)",0.011,3.5,
Pigment & Resin Technology,0369-9420,1758-6941,1.4,Q3,"CHEMISTRY, APPLIED - SCIE (Q3); ENGINEERING, CHEMICAL - SCIE (Q4); MATERIALS SCIENCE, COATINGS & FILMS - SCIE (Q4)",0.00054,2.93,
Pigment Cell & Melanoma Research,1755-1471,1755-148X,4.3,Q1,CELL BIOLOGY - SCIE (Q2); DERMATOLOGY - SCIE (Q1); ONCOLOGY - SCIE (Q2),0.0029,3.47,
Pituitary,1386-341X,1573-7403,3.8,Q2,ENDOCRINOLOGY & METABOLISM - SCIE (Q2),0.00386,3.8,
PLACENTA,0143-4004,1532-3102,3.8,Q2,DEVELOPMENTAL BIOLOGY - SCIE (Q2); OBSTETRICS & GYNECOLOGY - SCIE (Q2); REPRODUCTIVE BIOLOGY - SCIE (Q2),0.00692,2.87,
PLANETARY AND SPACE SCIENCE,0032-0633,1873-5088,2.4,Q3,ASTRONOMY & ASTROPHYSICS - SCIE (Q3),0.00569,2.5,
Plankton & Benthos Research,1880-8247,1882-627X,0.6,Q4,MARINE & FRESHWATER BIOLOGY - SCIE (Q4); OCEANOGRAPHY - SCIE (Q4),0.00027,2,
PLANT AND CELL PHYSIOLOGY,0032-0781,1471-9053,4.9,Q1,CELL BIOLOGY - SCIE (Q2); PLANT SCIENCES - SCIE (Q1),0.00999,3.2,
PLANT AND SOIL,0032-079X,1573-5036,4.9,Q1,AGRONOMY - SCIE (Q1); PLANT SCIENCES - SCIE (Q1); SOIL SCIENCE - SCIE (Q2),0.01747,2.57,
PLANT BIOLOGY,1435-8603,1438-8677,3.9,Q1,PLANT SCIENCES - SCIE (Q1),0.00413,2.1,
PLANT BIOSYSTEMS,1126-3504,1724-5575,2,Q3,PLANT SCIENCES - SCIE (Q3),0.00184,2.1,
Plant Biotechnology,1342-4580,N/A,1.6,Q3,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE (Q4); PLANT SCIENCES - SCIE (Q3),0.00062,2.7,
PLANT BIOTECHNOLOGY JOURNAL,1467-7644,1467-7652,13.8,Q1,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE (Q1); PLANT SCIENCES - SCIE (Q1),0.01932,2.7,
Plant Biotechnology Reports,1863-5466,1863-5474,2.4,Q2,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE (Q3); PLANT SCIENCES - SCIE (Q2),0.00089,2.7,
PLANT BREEDING,0179-9541,1439-0523,2,Q2,AGRONOMY - SCIE (Q2); BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE (Q4); PLANT SCIENCES - SCIE (Q3),0.00154,2.43,
PLANT CELL,1040-4651,1532-298X,11.6,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE (Q1); CELL BIOLOGY - SCIE (Q1); PLANT SCIENCES - SCIE (Q1),0.02984,3.37,
PLANT CELL AND ENVIRONMENT,0140-7791,1365-3040,7.3,Q1,PLANT SCIENCES - SCIE (Q1),0.01687,2.1,
PLANT CELL REPORTS,0721-7714,1432-203X,6.2,Q1,PLANT SCIENCES - SCIE (Q1),0.00597,2.1,
PLANT CELL TISSUE AND ORGAN CULTURE,0167-6857,1573-5044,3,Q2,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE (Q3); PLANT SCIENCES - SCIE (Q2),0.00347,2.7,
Plant Communications,2590-3462,2590-3462,10.5,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE (Q1); PLANT SCIENCES - SCIE (Q1),0.00284,2.9,
Plant Direct,N/A,2475-4455,3,Q2,PLANT SCIENCES - SCIE (Q2),0.00246,2.1,
PLANT DISEASE,0191-2917,1943-7692,4.5,Q1,PLANT SCIENCES - SCIE (Q1),0.01194,2.1,
Plant Diversity,2096-2703,2468-2659,4.8,Q1,PLANT SCIENCES - SCIE (Q1),0.00165,2.1,
PLANT ECOLOGY,1385-0237,1573-5052,1.7,Q3,ECOLOGY - SCIE (Q3); FORESTRY - SCIE (Q3); PLANT SCIENCES - SCIE (Q3),0.00209,2.17,
Plant Ecology & Diversity,1755-0874,1755-1668,1.5,Q3,PLANT SCIENCES - SCIE (Q3),0.00073,2.1,
Plant Ecology and Evolution,2032-3913,2032-3921,1.1,Q4,PLANT SCIENCES - SCIE (Q4),0.00058,2.1,
PLANT FOODS FOR HUMAN NUTRITION,0921-9668,1573-9104,4,Q1,"CHEMISTRY, APPLIED - SCIE (Q2); FOOD SCIENCE & TECHNOLOGY - SCIE (Q2); NUTRITION & DIETETICS - SCIE (Q2); PLANT SCIENCES - SCIE (Q1)",0.00156,2.82,
Plant Genetic Resources-Characterization and Utilization,1479-2621,1479-263X,1.1,Q4,PLANT SCIENCES - SCIE (Q4),0.00055,2.1,
Plant Genome,N/A,1940-3372,4.2,Q1,GENETICS & HEREDITY - SCIE (Q1); PLANT SCIENCES - SCIE (Q1),0.00254,2.6,
